Comune,Provincia,Codice_Istat
Montallegro,AG,84024
Montevago,AG,84025
Naro,AG,84026
Palma di Montechiaro,AG,84027
Porto Empedocle,AG,84028
Racalmuto,AG,84029
Raffadali,AG,84030
Ravanusa,AG,84031
Realmonte,AG,84032
Ribera,AG,84033
Sambuca di Sicilia,AG,84034
San Biagio Platani,AG,84035
San Giovanni Gemini,AG,84036
Santa Elisabetta,AG,84037
Santa Margherita di Belice,AG,84038
Sant'Angelo Muxaro,AG,84039
Santo Stefano Quisquina,AG,84040
Sciacca,AG,84041
Siculiana,AG,84042
Villafranca Sicula,AG,84043
Acquaviva Platani,CL,85001
Bompensiere,CL,85002
Butera,CL,85003
Caltanissetta,CL,85004
Campofranco,CL,85005
Delia,CL,85006
Gela,CL,85007
Marianopoli,CL,85008
Mazzarino,CL,85009
Milena,CL,85010
Montedoro,CL,85011
Mussomeli,CL,85012
Niscemi,CL,85013
Resuttano,CL,85014
Riesi,CL,85015
San Cataldo,CL,85016
Santa Caterina Villarmosa,CL,85017
Serradifalco,CL,85018
Sommatino,CL,85019
Sutera,CL,85020
Vallelunga Pratameno,CL,85021
Villalba,CL,85022
Agira,EN,86001
Aidone,EN,86002
Assoro,EN,86003
Barrafranca,EN,86004
Calascibetta,EN,86005
Catenanuova,EN,86006
Centuripe,EN,86007
Cerami,EN,86008
Enna,EN,86009
Gagliano Castelferrato,EN,86010
Leonforte,EN,86011
Nicosia,EN,86012
Nissoria,EN,86013
Piazza Armerina,EN,86014
Pietraperzia,EN,86015
Regalbuto,EN,86016
Sperlinga,EN,86017
Troina,EN,86018
Valguarnera Caropepe,EN,86019
Villarosa,EN,86020
Aci Bonaccorsi,CT,87001
Aci Castello,CT,87002
Aci Catena,CT,87003
Acireale,CT,87004
Aci Sant'Antonio,CT,87005
Adrano,CT,87006
Belpasso,CT,87007
Biancavilla,CT,87008
Bronte,CT,87009
Calatabiano,CT,87010
Caltagirone,CT,87011
Camporotondo Etneo,CT,87012
Castel di Iudica,CT,87013
Castiglione di Sicilia,CT,87014
Catania,CT,87015
Fiumefreddo di Sicilia,CT,87016
Giarre,CT,87017
Grammichele,CT,87018
Gravina di Catania,CT,87019
Licodia Eubea,CT,87020
Linguaglossa,CT,87021
Maletto,CT,87022
Mascali,CT,87023
Mascalucia,CT,87024
Militello in Val di Catania,CT,87025
Milo,CT,87026
Mineo,CT,87027
Mirabella Imbaccari,CT,87028
Misterbianco,CT,87029
Motta Sant'Anastasia,CT,87030
Nicolosi,CT,87031
Palagonia,CT,87032
Paternò,CT,87033
Pedara,CT,87034
Piedimonte Etneo,CT,87035
Raddusa,CT,87036
Ramacca,CT,87037
Randazzo,CT,87038
Riposto,CT,87039
San Cono,CT,87040
San Giovanni la Punta,CT,87041
San Gregorio di Catania,CT,87042
San Michele di Ganzaria,CT,87043
San Pietro Clarenza,CT,87044
Sant'Agata li Battiati,CT,87045
Sant'Alfio,CT,87046
Santa Maria di Licodia,CT,87047
Santa Venerina,CT,87048
Scordia,CT,87049
Trecastagni,CT,87050
Tremestieri Etneo,CT,87051
Valverde,CT,87052
Viagrande,CT,87053
Vizzini,CT,87054
Zafferana Etnea,CT,87055
Mazzarrone,CT,87056
Maniace,CT,87057
Ragalna,CT,87058
Acate,RG,88001
Chiaramonte Gulfi,RG,88002
Comiso,RG,88003
Giarratana,RG,88004
Ispica,RG,88005
Modica,RG,88006
Monterosso Almo,RG,88007
Pozzallo,RG,88008
Ragusa,RG,88009
Santa Croce Camerina,RG,88010
Scicli,RG,88011
Vittoria,RG,88012
Augusta,SR,89001
Avola,SR,89002
Buccheri,SR,89003
Buscemi,SR,89004
Canicattini Bagni,SR,89005
Carlentini,SR,89006
Cassaro,SR,89007
Ferla,SR,89008
Floridia,SR,89009
Francofonte,SR,89010
Lentini,SR,89011
Melilli,SR,89012
Noto,SR,89013
Pachino,SR,89014
Palazzolo Acreide,SR,89015
Rosolini,SR,89016
Siracusa,SR,89017
Solarino,SR,89018
Sortino,SR,89019
Portopalo di Capo Passero,SR,89020
Priolo Gargallo,SR,89021
