Codice Regione,Codice Città Metropolitana,Codice Provincia (1),Progressivo del Comune (2),Codice Comune formato alfanumerico,Denominazione in italiano,Denominazione altra lingua,Codice Ripartizione Geografica,Ripartizione geografica,Denominazione regione,Denominazione Città metropolitana,Denominazione provincia,Flag Comune capoluogo di provincia,Sigla automobilistica,Codice Comune formato numerico,Codice Comune numerico con 110 province (dal 2010 al 2016),Codice Comune numerico con 107 province (dal 2006 al 2009),Codice Comune numerico con 103 province (dal 1995 al 2005),Codice Catastale del comune,Popolazione legale 2011 (09/10/2011),Codice NUTS1 2010,Codice NUTS2 2010 (3),Codice NUTS3 2010,Codice NUTS1 2006,Codice NUTS2 2006 (3),Codice NUTS3 2006
19,282,082, 007 ,082007,Balestrate,,5,Isole,Sicilia,Palermo,-,0,PA,82007,82007,82007,82007,A592,6.413,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 008 ,082008,Baucina,,5,Isole,Sicilia,Palermo,-,0,PA,82008,82008,82008,82008,A719,2.014,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 009 ,082009,Belmonte Mezzagno,,5,Isole,Sicilia,Palermo,-,0,PA,82009,82009,82009,82009,A764,11.149,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 010 ,082010,Bisacquino,,5,Isole,Sicilia,Palermo,-,0,PA,82010,82010,82010,82010,A882,4.829,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 011 ,082011,Bolognetta,,5,Isole,Sicilia,Palermo,-,0,PA,82011,82011,82011,82011,A946,3.932,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 012 ,082012,Bompietro,,5,Isole,Sicilia,Palermo,-,0,PA,82012,82012,82012,82012,A958,1.474,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 013 ,082013,Borgetto,,5,Isole,Sicilia,Palermo,-,0,PA,82013,82013,82013,82013,A991,7.021,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 014 ,082014,Caccamo,,5,Isole,Sicilia,Palermo,-,0,PA,82014,82014,82014,82014,B315,8.295,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 015 ,082015,Caltavuturo,,5,Isole,Sicilia,Palermo,-,0,PA,82015,82015,82015,82015,B430,4.171,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 016 ,082016,Campofelice di Fitalia,,5,Isole,Sicilia,Palermo,-,0,PA,82016,82016,82016,82016,B533,548,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 017 ,082017,Campofelice di Roccella,,5,Isole,Sicilia,Palermo,-,0,PA,82017,82017,82017,82017,B532,6.918,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 018 ,082018,Campofiorito,,5,Isole,Sicilia,Palermo,-,0,PA,82018,82018,82018,82018,B535,1.332,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 019 ,082019,Camporeale,,5,Isole,Sicilia,Palermo,-,0,PA,82019,82019,82019,82019,B556,3.448,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 020 ,082020,Capaci,,5,Isole,Sicilia,Palermo,-,0,PA,82020,82020,82020,82020,B645,11.030,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 021 ,082021,Carini,,5,Isole,Sicilia,Palermo,-,0,PA,82021,82021,82021,82021,B780,35.681,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 022 ,082022,Castelbuono,,5,Isole,Sicilia,Palermo,-,0,PA,82022,82022,82022,82022,C067,9.161,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 023 ,082023,Casteldaccia,,5,Isole,Sicilia,Palermo,-,0,PA,82023,82023,82023,82023,C074,10.884,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 024 ,082024,Castellana Sicula,,5,Isole,Sicilia,Palermo,-,0,PA,82024,82024,82024,82024,C135,3.549,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 025 ,082025,Castronovo di Sicilia,,5,Isole,Sicilia,Palermo,-,0,PA,82025,82025,82025,82025,C344,3.175,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 026 ,082026,Cefalà Diana,,5,Isole,Sicilia,Palermo,-,0,PA,82026,82026,82026,82026,C420,1.007,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 027 ,082027,Cefalù,,5,Isole,Sicilia,Palermo,-,0,PA,82027,82027,82027,82027,C421,14.354,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 028 ,082028,Cerda,,5,Isole,Sicilia,Palermo,-,0,PA,82028,82028,82028,82028,C496,5.391,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 029 ,082029,Chiusa Sclafani,,5,Isole,Sicilia,Palermo,-,0,PA,82029,82029,82029,82029,C654,2.957,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 030 ,082030,Ciminna,,5,Isole,Sicilia,Palermo,-,0,PA,82030,82030,82030,82030,C696,3.845,ITG,ITG1,ITG12,ITG,ITG1,ITG12
19,282,082, 031 ,082031,Cinisi,,5,Isole,Sicilia,Palermo,-,0,PA,82031,82031,82031,82031,C708,12.031,ITG,ITG1,ITG12,ITG,ITG1,ITG12
